time,episode,action_sum,action_Normal,action_ARP_POISONING,action_MITM_DOS,action_REPLAY,action_DNP3_ENUMERATE,answer_Normal,answer_ARP_POISONING,answer_MITM_DOS,answer_REPLAY,answer_DNP3_ENUMERATE,
2025-01-18T12:43:01.720509,2545,2,1,0,0,0,1,0,0,0,2,0,
2025-01-18T12:43:01.817196,2594,49,9,7,11,8,14,12,9,6,13,9,
2025-01-18T12:43:01.914235,2638,44,3,12,10,10,9,12,7,10,7,8,
2025-01-18T12:43:01.958721,2655,17,3,3,4,1,6,4,3,1,5,4,
2025-01-18T12:43:02.014870,2688,33,8,10,4,6,5,6,7,6,5,9,
2025-01-18T12:43:02.063598,2712,24,7,3,6,5,3,3,2,3,7,9,
2025-01-18T12:43:02.111431,2735,23,3,5,4,6,5,5,2,3,5,8,
2025-01-18T12:43:02.120939,2745,10,1,3,1,1,4,0,2,1,4,3,
2025-01-18T12:43:02.123940,2747,2,1,1,0,0,0,0,1,0,0,1,
2025-01-18T12:43:02.168412,2767,20,4,2,3,3,8,3,5,4,6,2,
2025-01-18T12:43:02.203405,2777,10,1,2,3,1,3,4,1,0,2,3,
2025-01-18T12:43:02.211409,2784,7,0,2,1,3,1,1,2,1,0,3,
2025-01-18T12:43:02.223916,2797,13,4,0,6,2,1,2,4,2,3,2,
2025-01-18T12:43:02.358510,2859,62,8,14,9,13,18,14,12,9,13,14,
2025-01-18T12:43:02.370083,2871,12,7,1,2,2,0,2,1,5,1,3,
2025-01-18T12:43:02.402959,2878,7,2,1,1,0,3,2,1,2,0,2,
2025-01-18T12:43:02.413804,2888,10,1,5,1,2,1,2,1,1,3,3,
2025-01-18T12:43:02.424894,2899,11,2,4,3,2,0,2,2,3,1,3,
2025-01-18T12:43:02.460684,2906,7,0,2,1,4,0,1,2,2,2,0,
2025-01-18T12:43:02.472684,2918,12,3,1,3,2,3,1,1,3,6,1,
2025-01-18T12:43:02.475684,2921,3,0,0,0,1,2,0,1,2,0,0,
2025-01-18T12:43:02.565385,2961,40,10,7,10,6,7,7,10,4,9,10,
2025-01-18T12:43:02.579522,2975,14,3,4,3,2,2,4,2,3,1,4,
2025-01-18T12:43:02.665726,3013,38,5,10,9,9,5,7,9,7,3,12,
2025-01-18T12:43:02.667726,3014,1,0,0,1,0,0,0,0,0,1,0,
2025-01-18T12:43:02.676725,3024,10,1,4,2,0,3,0,1,3,1,5,
2025-01-18T12:43:02.710234,3028,4,0,0,2,0,2,1,3,0,0,0,
2025-01-18T12:43:02.730372,3050,22,2,7,5,3,5,4,5,6,2,5,
2025-01-18T12:43:02.809502,3082,32,7,3,7,5,10,6,7,8,5,6,
2025-01-18T12:43:02.903924,3130,48,13,12,9,8,6,9,11,11,10,7,
2025-01-18T12:43:02.960787,3163,33,5,9,4,6,9,11,7,5,2,8,
2025-01-18T12:43:02.971788,3174,11,4,2,2,1,2,0,5,2,2,2,
2025-01-18T12:43:03.067695,3219,45,11,4,9,5,16,10,7,10,3,15,
2025-01-18T12:43:03.102983,3227,8,1,4,0,1,2,3,1,1,2,1,
2025-01-18T12:43:03.107296,3230,3,0,0,1,1,1,1,1,0,0,1,
2025-01-18T12:43:03.114487,3235,5,1,0,2,2,0,2,1,2,0,0,
2025-01-18T12:43:03.124609,3245,10,1,2,5,1,1,2,0,3,4,1,
2025-01-18T12:43:03.209425,3282,37,5,8,7,8,9,9,8,8,6,6,
2025-01-18T12:43:03.224871,3298,16,1,3,3,6,3,2,3,4,3,4,
2025-01-18T12:43:03.261627,3309,11,4,2,3,1,1,1,1,2,6,1,
2025-01-18T12:43:03.304860,3328,19,3,2,1,6,7,3,4,3,2,7,
2025-01-18T12:43:03.308862,3331,3,0,1,2,0,0,1,0,1,0,1,
2025-01-18T12:43:03.353565,3352,21,6,5,4,3,3,4,5,3,6,3,
2025-01-18T12:43:03.373571,3371,19,6,6,2,1,4,3,4,3,4,5,
2025-01-18T12:43:03.413863,3385,14,3,3,1,5,2,1,4,2,4,3,
2025-01-18T12:43:03.423370,3395,10,0,3,3,2,2,0,2,3,3,2,
2025-01-18T12:43:03.466987,3411,16,0,3,4,2,7,3,2,5,5,1,
2025-01-18T12:43:03.469988,3414,3,0,1,2,0,0,0,0,2,1,0,
2025-01-18T12:43:03.577249,3475,61,19,12,11,11,8,14,14,9,14,10,
2025-01-18T12:43:03.661407,3508,33,6,4,12,4,7,6,8,9,5,5,
2025-01-18T12:43:03.667407,3514,6,3,1,2,0,0,0,1,1,2,2,
2025-01-18T12:43:03.676275,3523,9,1,3,4,0,1,4,2,1,1,1,
2025-01-18T12:43:03.753113,3552,29,6,6,10,5,2,7,4,4,7,7,
2025-01-18T12:43:03.803686,3579,27,11,6,5,2,3,4,8,5,4,6,
2025-01-18T12:43:03.900333,3627,48,9,12,10,11,6,11,16,8,2,11,
2025-01-18T12:43:03.921784,3649,22,7,10,0,3,2,7,7,5,1,2,
2025-01-18T12:43:04.009809,3687,38,10,11,7,5,5,11,9,3,8,7,
2025-01-18T12:43:04.014809,3692,5,1,2,1,0,1,3,1,0,0,1,
2025-01-18T12:43:04.022970,3700,8,2,2,3,0,1,2,1,2,2,1,
2025-01-18T12:43:04.057202,3706,6,2,3,0,1,0,2,0,1,2,1,
2025-01-18T12:43:04.072205,3721,15,4,3,3,3,2,0,4,3,4,4,
2025-01-18T12:43:04.156685,3755,34,11,2,8,8,5,9,7,8,6,4,
2025-01-18T12:43:04.268033,3819,64,8,17,15,14,10,19,9,15,11,10,
2025-01-18T12:43:04.369850,3871,52,10,5,11,9,17,12,15,9,7,9,
2025-01-18T12:43:04.514844,3940,69,14,17,11,14,13,15,18,6,9,21,
2025-01-18T12:43:04.552937,3953,13,2,2,4,4,1,3,2,3,0,5,
2025-01-18T12:43:04.607793,3982,29,1,11,11,2,4,4,8,8,3,6,
2025-01-18T12:43:04.625302,4000,18,3,5,1,5,4,2,3,6,3,4,
2025-01-18T12:43:04.763334,4058,58,9,15,12,11,11,16,10,12,10,10,
2025-01-18T12:43:04.769334,4063,5,2,0,2,1,0,0,2,0,2,1,
2025-01-18T12:43:04.857924,4101,38,10,10,7,7,4,9,5,11,7,6,
2025-01-18T12:43:04.986396,4130,29,4,13,3,4,5,4,3,8,6,8,
2025-01-18T12:43:04.989398,4132,2,0,0,0,2,0,1,1,0,0,0,
2025-01-18T12:43:04.997340,4137,5,2,2,0,0,1,2,2,1,0,0,
2025-01-18T12:43:05.060428,4175,38,6,10,10,4,8,10,7,7,9,5,
2025-01-18T12:43:05.093220,4181,6,0,0,1,2,3,2,1,0,2,1,
2025-01-18T12:43:05.260321,4271,90,11,14,26,21,18,19,16,20,12,23,
2025-01-18T12:43:05.305754,4287,16,2,6,3,2,3,4,6,2,2,2,
2025-01-18T12:43:05.307760,4288,1,0,1,0,0,0,0,0,0,1,0,
2025-01-18T12:43:05.318760,4300,12,2,4,1,3,2,1,5,3,1,2,
2025-01-18T12:43:05.414757,4347,47,9,13,5,9,11,12,7,7,11,10,
2025-01-18T12:43:05.496837,4379,32,3,8,9,7,5,8,6,5,6,7,
2025-01-18T12:43:05.505837,4388,9,1,5,0,2,1,4,1,3,1,0,
2025-01-18T12:43:05.650872,4459,71,15,13,10,22,11,14,17,15,16,9,
2025-01-18T12:43:05.663168,4471,12,0,1,5,1,5,3,3,2,3,1,
2025-01-18T12:43:05.709740,4492,21,3,3,7,5,3,4,3,7,1,6,
2025-01-18T12:43:05.712741,4494,2,0,1,1,0,0,0,1,0,0,1,
2025-01-18T12:43:05.803490,4530,36,5,7,9,7,8,11,5,6,6,8,
2025-01-18T12:43:05.810502,4536,6,2,1,1,1,1,2,2,1,0,1,
2025-01-18T12:43:05.868482,4568,32,3,13,6,6,4,5,7,2,6,12,
2025-01-18T12:43:05.923806,4598,30,5,8,7,2,8,5,11,4,4,6,
2025-01-18T12:43:05.953310,4601,3,0,0,1,1,1,1,0,1,0,1,
2025-01-18T12:43:05.968124,4616,15,3,1,3,5,3,3,2,4,3,3,
2025-01-18T12:43:05.975825,4623,7,0,0,2,3,2,2,1,1,1,2,
2025-01-18T12:43:06.014037,4633,10,1,1,5,0,3,2,2,3,2,1,
2025-01-18T12:43:06.115774,4679,46,14,7,6,8,11,4,12,14,10,6,
2025-01-18T12:43:06.481903,4871,192,29,55,35,28,45,36,43,30,38,45,
2025-01-18T12:43:06.575014,4913,42,8,10,7,8,9,8,8,12,8,6,
2025-01-18T12:43:06.577014,4915,2,0,0,1,1,0,0,1,0,1,0,
2025-01-18T12:43:06.624303,4938,23,3,4,4,8,4,7,5,6,3,2,
2025-01-18T12:43:06.629303,4942,4,1,0,0,2,1,1,1,0,1,1,
2025-01-18T12:43:06.667575,4955,13,3,1,3,3,3,1,3,3,5,1,
2025-01-18T12:43:06.677575,4965,10,3,1,4,1,1,3,2,2,1,2,
2025-01-18T12:43:06.721826,4984,19,4,5,2,3,5,0,5,4,4,6,
2025-01-18T12:43:06.783159,5017,33,6,5,7,4,11,5,8,8,5,7,
2025-01-18T12:43:06.791158,5025,8,1,1,2,3,1,1,0,3,2,2,
2025-01-18T12:43:06.823235,5030,5,2,2,1,0,0,1,3,1,0,0,
2025-01-18T12:43:06.835239,5042,12,2,3,3,2,2,1,3,5,2,1,
2025-01-18T12:43:06.839679,5045,3,1,1,0,0,1,0,1,0,1,1,
2025-01-18T12:43:06.929396,5085,40,11,8,5,7,9,11,6,5,10,8,
2025-01-18T12:43:06.934396,5090,5,2,1,0,2,0,1,0,0,2,2,
2025-01-18T12:43:06.938898,5094,4,0,1,1,1,1,0,0,3,0,1,
2025-01-18T12:43:07.072876,5152,58,8,13,16,10,11,12,11,15,12,8,
2025-01-18T12:43:07.083089,5162,10,3,2,1,3,1,1,2,2,3,2,
2025-01-18T12:43:07.087087,5165,3,0,0,1,1,1,1,0,1,1,0,
2025-01-18T12:43:07.238523,5241,76,16,13,11,21,15,12,13,21,15,15,
2025-01-18T12:43:07.242524,5244,3,0,2,1,0,0,2,0,1,0,0,
2025-01-18T12:43:07.243524,5245,1,0,0,1,0,0,0,1,0,0,0,
2025-01-18T12:43:07.246524,5247,2,1,0,0,1,0,0,1,0,1,0,
2025-01-18T12:43:07.249524,5249,2,0,1,1,0,0,1,1,0,0,0,
2025-01-18T12:43:07.292873,5266,17,4,6,1,4,2,3,5,2,6,1,
2025-01-18T12:43:07.393379,5317,51,12,15,10,8,6,10,8,10,12,11,
2025-01-18T12:43:07.492590,5361,44,4,6,10,11,13,9,9,6,11,9,
2025-01-18T12:43:07.535852,5379,18,4,0,4,6,4,3,4,3,6,2,
2025-01-18T12:43:07.551934,5396,17,4,4,4,3,2,5,7,2,0,3,
2025-01-18T12:43:07.587150,5404,8,4,1,1,1,1,1,1,1,3,2,
2025-01-18T12:43:07.597176,5413,9,4,1,0,2,2,3,2,1,0,3,
